見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,特別展「もうひとつの日本美術史-近現代版画の名作2020」,展示,9月19日（土）?11月23日（祝）,,,,,,
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,企画展「和歌山県立近代美術館 コレクションの50年」,展示,9月19日（土）?12月20日（日）,,,,,,
県立博物館,073-436-8670,073-436-6643,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,企画展「喜多村進と徳川頼貞-南葵（なんき）音楽文庫をめぐるひとびと-」,展示,?10月4日（日）,,,,,,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,家族で体験、夜の水族館,イベント,10月10日（土）15:00?17:00、19:00?21:00,,3歳以上の子供とその家族,20人（抽選）,,9月26日まで,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,干潟の生物観察会,イベント,10月17日（土）10:00?13:00,内之浦干潟公園（田辺市）,小学生以上（小学生は保護者同伴）,30人（抽選）,,10月3日まで,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,川原の石の観察会,イベント,10月18日（日）13:00?15:00,紀の川河川敷（紀の川市）,小学生以上（小学生は保護者同伴）,15人（抽選）,,10月4日まで,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,秋期特別展「埴輪（はにわ）が語る古墳の祀（まつ）り」,展示,10月3日（土）?12月6日（日）,,,,,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,秋期特別展 特別展講座(1),イベント,10月11日（日）13:30?15:30,,小学生以上 ,30人（先着順）,,9月25日13:00?,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,紀伊風土記の丘ボランティアの会シンポジウム～10周年記念のシンポジウム～,イベント,10月18日（日）13:00?16:00,,小学生以上,15人（先着順）,,10月1日13:00?,
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜（祝日の場合次の平日） ,,,,,,,,,9月の花ごよみ　ダリア、サルビア・レウカンサ、タイタンビカス、スイフヨウ、コスモス
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,,企画展「和紙ちぎり絵展」,展示,9月10日（木）?11月15日（日）,,,,,,※マスク着用のご協力をお願いします。
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,,万葉学習セミナー「万葉集入門」（全3回）,イベント,9月27日（日）、11月3日（祝）・29日（日）14:00?15:30,,中学生以上,各10人（先着順）,500円／回 ,事前申込,
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,10:00～17:00,火曜 ,犬・猫の飼い方講習会,イベント,(1)9月5日（土）・13日（日）・19日（土）・25日（金）・27日（日）、10月11日（日）・16日（金）・25日（日）11:00?(2)10月2日（金）11:00?,(1)県動物愛護センター(2)新宮保健所串本支所,,,,,"※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。※県動物愛護センターでは譲渡会を常時開催しています。"
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,10:00～17:00,火曜 ,飼育体験教室&獣医師体験教室,イベント,10月4日（日）・31日（土）、11月15日（日）(1)飼育体験9:00?11:30(2)獣医師体験13:30?16:00,,(1)小学4年～中学3年生(2)小学5年～中学3年生［(1)(2)保護者同伴可］,各4人（抽選）,,9月18日まで,
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00 ,,石の中にも宇宙が見える!?～顕微鏡で岩石プレパラートの観察会と展示～,イベント,(1)観察会　9月19日（土）14:00?15:00,,,40人（先着順）,,,
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00 ,,石の中にも宇宙が見える!?～顕微鏡で岩石プレパラートの観察会と展示～,イベント,(2)展示　9月20日（日）?10月18日（日）,,,,,,
